Task 3 - All Countries
script.js:15 Name : Saint Helena, Ascension and Tristan da Cunha, Region : Africa, SubRegion : Western Africa, Population : 53192
script.js:15 Name : Lebanon, Region : Asia, SubRegion : Western Asia, Population : 6825442
script.js:15 Name : Samoa, Region : Oceania, SubRegion : Polynesia, Population : 198410
script.js:15 Name : Philippines, Region : Asia, SubRegion : South-Eastern Asia, Population : 109581085
script.js:15 Name : Guernsey, Region : Europe, SubRegion : Northern Europe, Population : 62999
script.js:15 Name : El Salvador, Region : Americas, SubRegion : Central America, Population : 6486201
script.js:15 Name : Kuwait, Region : Asia, SubRegion : Western Asia, Population : 4270563
script.js:15 Name : Tonga, Region : Oceania, SubRegion : Polynesia, Population : 105697
script.js:15 Name : Oman, Region : Asia, SubRegion : Western Asia, Population : 5106622
script.js:15 Name : Afghanistan, Region : Asia, SubRegion : Southern Asia, Population : 40218234
script.js:15 Name : Saint Kitts and Nevis, Region : Americas, SubRegion : Caribbean, Population : 53192
script.js:15 Name : Central African Republic, Region : Africa, SubRegion : Middle Africa, Population : 4829764
script.js:15 Name : Serbia, Region : Europe, SubRegion : Southeast Europe, Population : 6908224
script.js:15 Name : Armenia, Region : Asia, SubRegion : Western Asia, Population : 2963234
script.js:15 Name : Bangladesh, Region : Asia, SubRegion : Southern Asia, Population : 164689383
script.js:15 Name : Laos, Region : Asia, SubRegion : South-Eastern Asia, Population : 7275556
script.js:15 Name : Chile, Region : Americas, SubRegion : South America, Population : 19116209
script.js:15 Name : French Polynesia, Region : Oceania, SubRegion : Polynesia, Population : 280904
script.js:15 Name : Panama, Region : Americas, SubRegion : Central America, Population : 4314768
script.js:15 Name : United States, Region : Americas, SubRegion : North America, Population : 329484123
script.js:15 Name : Nepal, Region : Asia, SubRegion : Southern Asia, Population : 29136808
script.js:15 Name : Myanmar, Region : Asia, SubRegion : South-Eastern Asia, Population : 54409794
script.js:15 Name : Falkland Islands, Region : Americas, SubRegion : South America, Population : 2563
script.js:15 Name : Hungary, Region : Europe, SubRegion : Central Europe, Population : 9749763
script.js:15 Name : Palau, Region : Oceania, SubRegion : Micronesia, Population : 18092
script.js:15 Name : Equatorial Guinea, Region : Africa, SubRegion : Middle Africa, Population : 1402985
script.js:15 Name : Guinea, Region : Africa, SubRegion : Western Africa, Population : 13132792
script.js:15 Name : United Arab Emirates, Region : Asia, SubRegion : Western Asia, Population : 9890400
script.js:15 Name : Turks and Caicos Islands, Region : Americas, SubRegion : Caribbean, Population : 38718
script.js:15 Name : British Virgin Islands, Region : Americas, SubRegion : Caribbean, Population : 30237
script.js:15 Name : Liechtenstein, Region : Europe, SubRegion : Western Europe, Population : 38137
script.js:15 Name : Bosnia and Herzegovina, Region : Europe, SubRegion : Southeast Europe, Population : 3280815
script.js:15 Name : Malawi, Region : Africa, SubRegion : Eastern Africa, Population : 19129955
script.js:15 Name : Bhutan, Region : Asia, SubRegion : Southern Asia, Population : 771612
script.js:15 Name : Cameroon, Region : Africa, SubRegion : Middle Africa, Population : 26545864
script.js:15 Name : Andorra, Region : Europe, SubRegion : Southern Europe, Population : 77265
script.js:15 Name : Guadeloupe, Region : Americas, SubRegion : Caribbean, Population : 400132
script.js:15 Name : Republic of the Congo, Region : Africa, SubRegion : Middle Africa, Population : 5657000
script.js:15 Name : Réunion, Region : Africa, SubRegion : Eastern Africa, Population : 840974
script.js:15 Name : Burkina Faso, Region : Africa, SubRegion : Western Africa, Population : 20903278
script.js:15 Name : Jordan, Region : Asia, SubRegion : Western Asia, Population : 10203140
script.js:15 Name : DR Congo, Region : Africa, SubRegion : Middle Africa, Population : 108407721
script.js:15 Name : Tokelau, Region : Oceania, SubRegion : Polynesia, Population : 1411
script.js:15 Name : Vietnam, Region : Asia, SubRegion : South-Eastern Asia, Population : 97338583
script.js:15 Name : Sint Maarten, Region : Americas, SubRegion : Caribbean, Population : 40812
script.js:15 Name : Belgium, Region : Europe, SubRegion : Western Europe, Population : 11555997
script.js:15 Name : United States Minor Outlying Islands, Region : Americas, SubRegion : North America, Population : 300
script.js:15 Name : Brazil, Region : Americas, SubRegion : South America, Population : 212559409
